Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-1,"3,350,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-2,"3,650,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,200 m²,4+1,6.Kat,Merkezi (Pay Ölçer),240 m²,5-10,9,Mülk Sahibi Oturuyor
Ev-3,"2,899,999TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,4,4,Boş
Ev-4,"1,320,000TL",Elazığ - Elazığ Merkez - Karşıyaka Mahallesi,75 m²,2+1,3.Kat,Merkezi (Pay Ölçer),85 m²,2,4,Kiracı Oturuyor
Ev-5,"2,450,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,90 m²,2+1,2.Kat,Kombi Doğalgaz,110 m²,0 (Yeni),3,Boş
Ev-6,"2,625,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,105 m²,2+1,3.Kat,Kombi Doğalgaz,125 m²,5-10,4,Boş
Ev-7,"4,200,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,162 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),4,Boş
Ev-8,"2,500,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü,128 m²,3+1,1.Kat,Merkezi (Pay Ölçer),130 m²,2,4,Mülk Sahibi Oturuyor
Ev-9,"5,600,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,200 m²,4+1,10.Kat,Merkezi (Pay Ölçer),220 m²,4,13,Mülk Sahibi Oturuyor
Ev-10,"2,600,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,140 m²,3+1,6.Kat,Merkezi Doğalgaz,171 m²,0 (Yeni),18,Boş
Ev-11,"1,830,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,200 m²,4+1,2.Kat,Kombi Doğalgaz,220 m²,21 Ve Üzeri,5,Boş
